ID,risk_flag,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS
1,0,7393090,59,19,single,rented,no,Geologist,Malda,West Bengal,4,13
2,0,1215004,25,5,single,rented,no,Firefighter,Jalna,Maharashtra,5,10
3,1,8901342,50,12,single,rented,no,Lawyer,Thane,Maharashtra,9,14
4,0,1944421,49,9,married,rented,yes,Analyst,Latur,Maharashtra,3,12
5,0,13429,25,18,single,rented,yes,Comedian,Berhampore,West Bengal,13,11
6,0,3437621,78,14,single,rented,no,Economist,Ramgarh,Jharkhand,3,10
7,0,5101498,55,0,married,rented,no,Artist,Pallavaram,Tamil Nadu,0,14
8,0,6716946,70,15,single,rented,yes,Flight attendant,Yamunanagar,Haryana,14,13
9,0,8369802,43,7,single,rented,no,Secretary,Anand,Gujarat,6,13
10,1,9565457,65,5,single,rented,yes,Engineer,Nandyal,Andhra Pradesh,3,12
11,0,1960736,71,14,single,rented,no,Technician,Bihar Sharif,Bihar,5,10
12,0,1964155,51,13,single,rented,no,Physician,Shivpuri,Madhya Pradesh,7,10
13,0,1330107,61,13,single,rented,no,Politician,Bhilai,Chhattisgarh,11,12
14,0,668849,74,15,single,rented,no,Psychologist,Bhavnagar,Gujarat,13,11
15,0,7656053,55,20,single,rented,yes,Engineer,Tiruppur,Tamil Nadu,14,14
16,0,2575197,72,2,single,owned,no,Scientist,Bongaigaon,Assam,2,14
17,0,9173731,47,3,single,rented,no,Petroleum Engineer,Hapur,Uttar Pradesh,3,12
18,0,2307642,72,12,single,rented,no,Chartered Accountant,Bulandshahr,Uttar Pradesh,12,13
19,1,750679,73,6,single,owned,no,Web designer,Pimpri-Chinchwad,Maharashtra,5,13
20,0,6543823,50,5,single,rented,yes,Geologist,Kurnool[18],Andhra Pradesh,5,13
21,0,8435439,68,1,single,rented,no,Geologist,Kakinada,Andhra Pradesh,1,14
22,0,4436504,56,9,single,rented,yes,Financial Analyst,Tadepalligudem,Andhra Pradesh,9,13
23,0,1578395,45,3,single,owned,no,Software Developer,Bidhannagar,West Bengal,3,14
24,0,4353927,73,17,married,rented,no,Official,Hospet,Karnataka,4,12
25,0,1975497,53,16,single,rented,no,Statistician,Jamshedpur,Jharkhand,13,10
26,0,1917641,48,3,single,rented,yes,Drafter,Sri Ganganagar,Rajasthan,3,14
27,1,8126503,21,6,single,rented,no,Statistician,Udaipur,Rajasthan,6,12
28,0,5185337,50,2,married,rented,no,Psychologist,Sikar,Rajasthan,2,14
29,0,9073203,71,13,single,rented,no,Architect,Suryapet,Telangana,9,10
30,0,9899664,45,5,single,rented,no,Software Developer,Bidhannagar,West Bengal,5,10
31,0,7936046,35,11,single,rented,yes,Financial Analyst,Thane,Maharashtra,10,14
32,0,4939158,65,12,single,rented,no,Official,Kavali,Andhra Pradesh,7,14
33,1,6451557,40,7,single,rented,no,Microbiologist,Erode[17],Tamil Nadu,7,14
34,1,7066438,44,1,married,rented,no,Drafter,Chittoor[28],Andhra Pradesh,1,10
35,0,360873,56,3,single,rented,no,Graphic Designer,Gwalior,Madhya Pradesh,3,12
36,0,6176694,66,10,single,rented,no,Designer,Allahabad,Uttar Pradesh[5],7,14
37,0,6100940,44,9,single,rented,no,Army officer,Malda,West Bengal,8,13
38,0,2890690,24,19,single,rented,yes,Civil servant,Pudukkottai,Tamil Nadu,13,13
39,0,7545693,50,14,single,rented,no,Engineer,Srinagar,Jammu and Kashmir,4,14
40,0,6235492,68,6,single,norent_noown,no,Comedian,Jamalpur[36],Bihar,6,12
41,0,2882498,34,0,married,rented,no,Chemical engineer,Fatehpur,Uttar Pradesh,0,13
42,0,579762,48,20,single,rented,no,Consultant,Coimbatore,Tamil Nadu,12,11
43,0,2541188,44,1,married,rented,no,Financial Analyst,Berhampur,Odisha,1,10
44,0,4943616,70,12,single,norent_noown,no,Air traffic controller,Thanjavur,Tamil Nadu,12,12
45,1,5648251,48,2,single,rented,yes,Graphic Designer,Bahraich,Uttar Pradesh,2,13
46,1,9205302,77,13,single,rented,yes,Microbiologist,Deoghar,Jharkhand,11,13
47,0,1744080,41,14,single,rented,yes,Civil engineer,Nagaon,Assam,12,13
48,1,5976201,37,12,single,rented,no,Consultant,Anantapuram[24],Andhra Pradesh,4,11
49,0,825676,30,9,single,rented,yes,Psychologist,Gulbarga,Karnataka,9,13
50,0,8382400,76,18,single,rented,yes,Industrial Engineer,Visakhapatnam[4],Andhra Pradesh,4,13
51,0,6164439,65,4,married,rented,no,Chef,Morbi,Gujarat,4,11
52,0,3458394,56,9,single,rented,yes,Air traffic controller,Tirupati[21][22],Andhra Pradesh,9,12
53,0,732443,65,4,single,rented,no,Physician,Karnal,Haryana,4,14
54,0,5724223,47,0,single,rented,no,Lawyer,Raichur,Karnataka,0,12
55,0,743219,54,5,single,owned,no,Statistician,Haridwar,Uttarakhand,5,12
56,0,8806392,61,5,married,rented,no,Software Developer,Giridih,Jharkhand,5,13
57,0,1215004,25,5,single,rented,no,Firefighter,Jalna,Maharashtra,5,10
58,1,9493120,63,19,single,rented,no,Hotel Manager,Nagercoil,Tamil Nadu,12,11
59,0,4351817,31,3,married,rented,no,Hotel Manager,Tadepalligudem,Andhra Pradesh,3,11
60,0,62058,66,16,single,rented,yes,Industrial Engineer,Coimbatore,Tamil Nadu,13,11
61,0,1506859,30,11,single,rented,no,Surveyor,Raichur,Karnataka,5,10
62,0,1117930,79,15,single,rented,no,Drafter,Rohtak,Haryana,9,12
63,0,599470,53,17,single,rented,no,Flight attendant,Srinagar,Jammu and Kashmir,3,13
64,0,1759925,47,18,single,owned,no,Comedian,Katni,Madhya Pradesh,7,14
65,1,1077795,29,1,single,rented,no,Army officer,Rewa,Madhya Pradesh,1,14
66,0,7465121,37,2,single,rented,yes,Microbiologist,Siliguri,West Bengal,2,12
67,0,2265601,72,16,single,rented,no,Comedian,Buxar[37],Bihar,5,12
68,0,3545959,28,6,single,rented,no,Magistrate,Mangalore,Karnataka,6,13
69,0,9434706,30,9,single,rented,no,Secretary,Shimoga,Karnataka,9,13
70,0,4646074,77,16,single,rented,no,Software Developer,Guwahati,Assam,6,13
71,0,235563,48,5,married,rented,no,Flight attendant,Katihar,Bihar,5,11
72,0,8557058,33,2,single,rented,no,Industrial Engineer,Deoghar,Jharkhand,2,14
73,0,6165156,28,7,married,owned,no,Chef,Farrukhabad,Uttar Pradesh,7,13
74,0,6619894,44,16,married,rented,yes,Politician,Etawah,Uttar Pradesh,6,14
